Offense,Bail Type,Bail Type 2,% of Total Bail Type 2,offense_type
Predatory criminal sexual assault of a child,C/D-Bond,129.00,0.77,Detainable - Public Safety
Armed robbery,C/D-Bond,125.00,0.71,Detainable - Public Safety
Attempt first degree murder,C/D-Bond,137.00,0.54,Detainable - Public Safety
First degree murder,C/D-Bond,79.00,0.23,Detainable - Public Safety
Unlawful use of a weapon by a felon,C/D-Bond,442.00,0.89,Detainable - Public Safety
Violation of an order of protection,C/D-Bond,559.00,0.56,Detainable - Public Safety
Armed habitual criminal,C/D-Bond,909.00,0.89,Detainable - Public Safety
Aggravated unlawful use of a weapon,C/D-Bond,4232.00,0.76,Detainable - Public Safety
Domestic battery,C/D-Bond,3222.00,0.43,Detainable - Public Safety
Aggravated domestic battery,I-Bond,16.00,0.10,Detainable - Public Safety
Predatory criminal sexual assault of a child,I-Bond,1.00,0.01,Detainable - Public Safety
Armed robbery,I-Bond,9.00,0.05,Detainable - Public Safety
Attempt first degree murder,I-Bond,26.00,0.10,Detainable - Public Safety
First degree murder,I-Bond,5.00,0.01,Detainable - Public Safety
Unlawful use of a weapon by a felon,I-Bond,45.00,0.09,Detainable - Public Safety
Violation of an order of protection,I-Bond,421.00,0.42,Detainable - Public Safety
Armed habitual criminal,I-Bond,17.00,0.02,Detainable - Public Safety
Aggravated unlawful use of a weapon,I-Bond,1287.00,0.23,Detainable - Public Safety
Domestic battery,I-Bond,4291.00,0.57,Detainable - Public Safety
Theft,No Bail,4.00,0.02,Detainable - Willful Flight
Escape,No Bail,65.00,0.17,Detainable - Willful Flight
Possession of stolen motor vehicle,No Bail,7.00,0.02,Detainable - Willful Flight
Manufacture/delivery of cannabis,No Bail,2.00,0.00,Detainable - Willful Flight
Burglary,No Bail,16.00,0.03,Detainable - Willful Flight
Aggravated battery,No Bail,28.00,0.03,Detainable - Willful Flight
DUI,No Bail,14.00,0.05,Detainable - Willful Flight
Possession of a controlled substance,No Bail,7.00,0.02,Detainable - Willful Flight
Manufacture/delivery of a controlled substance,No Bail,30.00,0.01,Detainable - Willful Flight
Retail theft,No Bail,7.00,0.02,Detainable - Willful Flight
Theft,C/D-Bond,78.00,0.34,Detainable - Willful Flight
Escape,C/D-Bond,310.00,0.79,Detainable - Willful Flight
Possession of stolen motor vehicle,C/D-Bond,257.00,0.58,Detainable - Willful Flight
Manufacture/delivery of cannabis,C/D-Bond,131.00,0.26,Detainable - Willful Flight
Burglary,C/D-Bond,302.00,0.53,Detainable - Willful Flight
Aggravated battery,C/D-Bond,616.00,0.73,Detainable - Willful Flight
DUI,C/D-Bond,174.00,0.60,Detainable - Willful Flight
Possession of a controlled substance,C/D-Bond,96.00,0.30,Detainable - Willful Flight
Manufacture/delivery of a controlled substance,C/D-Bond,498.00,0.23,Detainable - Willful Flight
Retail theft,C/D-Bond,123.00,0.39,Detainable - Willful Flight
Theft,I-Bond,145.00,0.64,Detainable - Willful Flight
Escape,I-Bond,16.00,0.04,Detainable - Willful Flight
Possession of stolen motor vehicle,I-Bond,181.00,0.41,Detainable - Willful Flight
Manufacture/delivery of cannabis,I-Bond,376.00,0.74,Detainable - Willful Flight
Burglary,I-Bond,257.00,0.45,Detainable - Willful Flight
Aggravated battery,I-Bond,204.00,0.24,Detainable - Willful Flight
DUI,I-Bond,101.00,0.35,Detainable - Willful Flight
Possession of a controlled substance,I-Bond,222.00,0.68,Detainable - Willful Flight
Manufacture/delivery of a controlled substance,I-Bond,1618.00,0.75,Detainable - Willful Flight
Retail theft,I-Bond,189.00,0.59,Detainable - Willful Flight
Resisting or obstructing a peace officer,No Bail,3.00,0.00,Non-Detainable
Reckless conduct,No Bail,0.00,0.00,Non-Detainable
Possession of a controlled substance (Class 4),No Bail,25.00,0.01,Non-Detainable
Retail theft (Class 4 Felony or Misd.),No Bail,3.00,0.00,Non-Detainable
Criminal damage to property,No Bail,2.00,0.00,Non-Detainable
Driving on a suspended license,No Bail,23.00,0.01,Non-Detainable
Possession of a controlled substance,No Bail,25.00,0.01,Non-Detainable
Retail theft,No Bail,3.00,0.00,Non-Detainable
Battery,No Bail,6.00,0.00,Non-Detainable
Resisting or obstructing a peace officer,C/D-Bond,88.00,0.11,Non-Detainable
Reckless conduct,C/D-Bond,42.00,0.05,Non-Detainable
Possession of a controlled substance (Class 4),C/D-Bond,287.00,0.17,Non-Detainable
Retail theft (Class 4 Felony or Misd.),C/D-Bond,271.00,0.14,Non-Detainable
Criminal damage to property,C/D-Bond,252.00,0.15,Non-Detainable
Driving on a suspended license,C/D-Bond,490.00,0.22,Non-Detainable
Possession of a controlled substance,C/D-Bond,287.00,0.17,Non-Detainable
Retail theft,C/D-Bond,271.00,0.14,Non-Detainable
Battery,C/D-Bond,314.00,0.10,Non-Detainable
Resisting or obstructing a peace officer,I-Bond,722.00,0.89,Non-Detainable
Reckless conduct,I-Bond,857.00,0.95,Non-Detainable
Possession of a controlled substance (Class 4),I-Bond,1372.00,0.81,Non-Detainable
Retail theft (Class 4 Felony or Misd.),I-Bond,1682.00,0.86,Non-Detainable
Criminal damage to property,I-Bond,1391.00,0.85,Non-Detainable
Driving on a suspended license,I-Bond,1727.00,0.77,Non-Detainable
Possession of a controlled substance,I-Bond,1372.00,0.81,Non-Detainable
Retail theft,I-Bond,1682.00,0.86,Non-Detainable
Battery,I-Bond,2878.00,0.90,Non-Detainable
