Circuit,Offense Type,Offense_Type,Annual Cases,FTA Risk,NCA Risk
20,Non-Probationable Forcible Felony & Sex Offenses,Non-Probationable Forcible Felony & Sex Offenses,981,0.06,0.27
20,Weapon Offenses,Weapon Offenses,1461,0.05,0.25
20,Domestic Violence/VOOP,Domestic Violence/VOOP,3440,0.08,0.25
20,Class 3 Felony or Greater,Class 3 Felony or Greater,7917,0.16,0.37
21,Non-Probationable Forcible Felony & Sex Offenses,Non-Probationable Forcible Felony & Sex Offenses,512,0.11,0.25
21,Weapon Offenses,Weapon Offenses,496,0.14,0.35
21,Domestic Violence/VOOP,Domestic Violence/VOOP,2494,0.15,0.26
21,Class 3 Felony or Greater,Class 3 Felony or Greater,2710,0.2,0.34
22,Non-Probationable Forcible Felony & Sex Offenses,Non-Probationable Forcible Felony & Sex Offenses,522,0.09,0.26
22,Weapon Offenses,Weapon Offenses,120,,0.34
22,Domestic Violence/VOOP,Domestic Violence/VOOP,2886,0.08,0.2
22,Class 3 Felony or Greater,Class 3 Felony or Greater,2476,0.16,0.36
23,Non-Probationable Forcible Felony & Sex Offenses,Non-Probationable Forcible Felony & Sex Offenses,333,0.12,0.37
23,Weapon Offenses,Weapon Offenses,190,0.14,0.4
23,Domestic Violence/VOOP,Domestic Violence/VOOP,3116,0.11,0.29
23,Class 3 Felony or Greater,Class 3 Felony or Greater,1500,0.17,0.4
Cook,Non-Probationable Forcible Felony & Sex Offenses,Non-Probationable Forcible Felony & Sex Offenses,12277,0.18,0.29
Cook,Weapon Offenses,Weapon Offenses,25822,0.15,0.25
Cook,Domestic Violence/VOOP,Domestic Violence/VOOP,57862,0.13,0.2
Cook,Class 3 Felony or Greater,Class 3 Felony or Greater,55690,0.26,0.41
Statewide,Non-Probationable Forcible Felony & Sex Offenses,Non-Probationable Forcible Felony & Sex Offenses,28693,0.13,0.31
Statewide,Weapon Offenses,Weapon Offenses,41470,0.12,0.28
Statewide,Domestic Violence/VOOP,Domestic Violence/VOOP,163197,0.09,0.25
Statewide,Class 3 Felony or Greater,Class 3 Felony or Greater,163333,0.18,0.39
